US Dollar,Temperature,Fertilizer per Hectare,Brightness,Yellowness,Oil Price,Price Of compiting crop,Fiber Tenacity,Climate,State,Month,Price Of Cotton
71,12,200,80,10.6,75.9,120,0.521,winter,Haryana,November,110.2
75,13,199,76,8,70,180,0.264,winter,Haryana,December,99
77.9,14,180,79,8.4,70.2,176,0.41,winter,Haryana,November,92
77,12,188,74,7.5,70.9,170,0.521,winter,Haryana,November,95
71,9,205,79,9.9,75.8,130,0.534,winter,Haryana,December,110.1
71.2,12,201,79,10,71.2,160,0.412,winter,Haryana,November,103
76.2,11,170,74,7.3,70.8,154,0.501,winter,Haryana,December,94
74.2,10,175,77,8.5,68.3,120,0.432,winter,Maharashtra,November,100.3
70.9,14,189,73,7.1,67.5,180,0.41,winter,Maharashtra,November,95
74.3,13,198,81,10.9,76,123,0.56,winter,Maharashtra,November,121.1
69.4,12,176,73,7,70.8,170,0.249,winter,Maharashtra,December,95
71.2,14,175,78,8.1,78,160,0.356,winter,Maharashtra,November,105
71,12,185,78,8.3,74,150,0.369,winter,Maharashtra,December,107
70.8,13,205,80,10.2,70.4,154,0.451,winter,Maharashtra,November,110
70.5,11,189,78,8.6,70.9,120,0.471,winter,Gujarat,December,110.4
70.4,12,201,75,7.1,73,180,0.312,winter,Gujarat,November,102.4
70.1,10,208,76,7.5,73.5,170,0.323,winter,Gujarat,November,104.9
70,14,196,77,7.9,71,154,0.432,winter,Gujarat,December,109
71,11,200,76,7.9,75.9,120,0.461,winter,Gujarat,November,110.7
70.8,15,210,79,9.9,77,160,0.492,winter,Gujarat,November,112
69.8,13,208,78,9.4,78,189,0.364,winter,Gujarat,December,107
71.6,10,180,79,10.2,78,170,0.413,winter,Gujarat,November,111.7
70.3,11,202,81,10.8,74,150,0.489,winter,Gujarat,December,117.8
77,20,180,74,7.4,74,150,0.234,monsoon,Haryana,June,115.2
75,25,190,77,8.1,73.8,160,0.365,monsoon,Haryana,July,122
74.9,24,200,80,10.3,75,140,0.395,monsoon,Haryana,June,130.7
76.2,23,170,74,7.3,70.8,154,0.242,monsoon,Haryana,July,120.3
72.1,22,201,81,10.7,76.1,128,0.369,monsoon,Haryana,July,135.1
76.4,23,207,78,8.9,68.3,138,0.349,monsoon,Haryana,June,129.1
73.5,22,180,80,9.7,74.2,120,0.359,monsoon,Haryana,July,132.8
74.1,23,200,78,8.1,68.9,152,0.348,monsoon,Maharashtra,June,131.7
74,24,201,79,9.1,69,120,0.367,monsoon,Maharashtra,July,135.4
71.2,23,175,78,8.1,78,160,0.319,monsoon,Maharashtra,June,122.3
74.3,21,198,81,10.9,76,123,0.407,monsoon,Maharashtra,June,140.6
74.2,25,170,75,7.1,75.2,170,0.294,monsoon,Maharashtra,July,120.4
70,22,170,77,8.5,75.3,168,0.316,monsoon,Maharashtra,June,134
73,21,189,73,6.4,68.9,176,0.276,monsoon,Maharashtra,July,123.4
74.3,23,198,81,10.8,76,123,0.567,monsoon,Gujarat,June,142.8
74.1,20,170,73,6.5,75.3,170,0.357,monsoon,Gujarat,July,123.4
74.6,21,164,73,6.9,75.4,175,0.268,monsoon,Gujarat,June,122.7
73,23,189,74,7.1,68.9,176,0.259,monsoon,Gujarat,July,126.1
70.8,24,210,79,9.9,77,160,0.299,monsoon,Gujarat,July,132.4
73.5,25,180,79,9.2,74.2,120,0.367,monsoon,Gujarat,June,138
71,21,200,76,7.9,75.9,120,0.368,monsoon,Gujarat,July,135.4
75,24,199,73,6.3,70,180,0.267,monsoon,Gujarat,June,120.2
74.1,23,200,78,8.5,68.9,152,0.379,monsoon,Gujarat,July,136.7
71,32,200,76,7.4,75.9,120,0.48,summer,Haryana,March,112
75,34,199,75,7.2,70.1,182,0.259,summer,Haryana,April,102.9
82.1,33,201,81,10.7,76.1,128,0.394,summer,Haryana,April,116.3
77,30,188,74,7.5,70.9,170,0.247,summer,Haryana,March,96
77.9,35,180,79,8.4,70.2,176,0.211,summer,Haryana,April,95.3
71.2,31,201,79,10,71.2,160,0.359,summer,Haryana,March,108
76.2,34,170,74,7.3,70.8,154,0.318,summer,Haryana,April,100.1
74.2,30,175,77,8.5,68.3,120,0.368,summer,Maharashtra,March,105.7
70,32,170,77,8.5,75.3,168,0.459,summer,Maharashtra,March,117.9
70.9,33,189,73,7.1,67.5,180,0.243,summer,Maharashtra,April,98.9
71.2,31,175,78,8.1,78,160,0.368,summer,Maharashtra,March,108
71,34,185,78,8.3,74,150,0.419,summer,Maharashtra,April,110.4
70.8,30,205,80,10.2,70.4,154,0.456,summer,Maharashtra,March,113.9
74.3,35,198,81,10.9,76,123,0.458,summer,Maharashtra,April,115.8
70.5,32,189,78,8.6,70.9,120,0.437,summer,Gujarat,March,114.5
70.4,35,201,75,7.1,73,180,0.41,summer,Gujarat,April,107.3
70.1,30,208,76,7.5,73.5,170,0.419,summer,Gujarat,March,109.4
70,34,196,77,7.9,71,154,0.492,summer,Gujarat,April,112.8
70.8,31,210,79,9.9,77,160,0.519,summer,Gujarat,March,115.8
69.8,35,209,76,9.3,77.5,190,0.509,summer,Gujarat,April,114
70.3,30,202,81,10.8,74,150,0.496,summer,Gujarat,March,118.9
74.6,34,164,73,6.9,75.4,175,0.569,summer,Gujarat,April,126.1
75,35,199,73,6.3,70,180,0.289,summer,Gujarat,March,97.9
